id,bai,tieude,noidung
15,Bài 25: Các hàm xử lý chuỗi trong Javascript,slice(),"-Hàm này có tác dụng cắt ra một chuỗi con từ một chuỗi cha.
Cú Pháp:

```js
string.slice(begin,end);
```

```js
string.slice(begin,end);
```
Trong đó:

```js
begin
```

```js
end
```
Chú ý: vị trí của chuỗi được tính từ 0.
VD:

```js
var a = ""học lập trình online toidicode.com"";
a.slice(21,34); //toidicode.com
```

```js
var a = ""học lập trình online toidicode.com"";
a.slice(21,34); //toidicode.com
```
Xem Kết Quả
-Và đương nhiên bạn cũng có thể cắt chuỗi từ cuối về đầu. bằng việc thêm dấu trừ vào trước vị trí (tính từ cuối về đầu).
VD:

```js
var a = ""học lập trình online toidicode.com"";
a.slice(-13,34); //toidicode.com
```

```js
var a = ""học lập trình online toidicode.com"";
a.slice(-13,34); //toidicode.com
```
Xem Kết Quả
VD: Cắt chuỗi từ vị trí bắt đầu đến hết chuỗi.

```js
var a = ""học lập trình online toidicode.com"";
a.slice(21); //toidicode.com
```

```js
var a = ""học lập trình online toidicode.com"";
a.slice(21); //toidicode.com
```"
16,Bài 25: Các hàm xử lý chuỗi trong Javascript,substring(),"-Hàm này cũng tương tự như hàmsicle(), nhưng hàm này không cho phép truyền vào số âm.

```js
sicle()
```
Cú pháp:

```js
string.substring(begin,end);
```

```js
string.substring(begin,end);
```
Trong đó:

```js
begin
```

```js
end
```
Chú ý: vị trí của chuỗi được tính từ 0."
17,Bài 25: Các hàm xử lý chuỗi trong Javascript,substr(),"-Phương thức này cũng có tác dụng là cắt chuỗi nhưng tham số thứ 2 của phương thức này có phần khác với 2 phương thức còn lại.
Cú pháp:

```js
string.substr(begin,length);
```

```js
string.substr(begin,length);
```
Trong đó:

```js
begin
```

```js
length
```
Chú ý: vị trí của chuỗi được tính từ 0.
VD:

```js
var a = ""học lập trình online toidicode.com"";
a.substr(21,13); //toidicode.com
```

```js
var a = ""học lập trình online toidicode.com"";
a.substr(21,13); //toidicode.com
```
Xem Kết Quả"
18,Bài 25: Các hàm xử lý chuỗi trong Javascript,replace(),"-Phương thức này cho phép chúng ta tìm kiếm và thay thế chuỗi.
Cú Pháp:

```js
string.replace(chuoicantim,chuoithaythe);
```

```js
string.replace(chuoicantim,chuoithaythe);
```
Trong đó:

```js
chuoicantim
```

```js
chuoithaythe
```
VD:Thay thế chuỗi toidicode.com bằng https://toidicode.com

```js
var a = ""học lập trình online toidicode.com"";
a.replace('toidicode.com','https://toidicode.com');
```

```js
var a = ""học lập trình online toidicode.com"";
a.replace('toidicode.com','https://toidicode.com');
```
Xem Kết Quả"
19,Bài 25: Các hàm xử lý chuỗi trong Javascript,toUpperCase(),"-Phương thức này có tác dụng chuyển đổi chuỗi thành chữ in hoa.
Cú Pháp:

```js
string.toUppercase();
```

```js
string.toUppercase();
```
VD:

```js
var a = ""học lập trình online toidicode.com"";
a.toUpperCase();
```

```js
var a = ""học lập trình online toidicode.com"";
a.toUpperCase();
```
Xem Kết Quả"
20,Bài 25: Các hàm xử lý chuỗi trong Javascript,toLowerCase(),"-Phương thức này có tác dụng chuyển đổi chuỗi thành chuỗi thường.
Cú Pháp:

```js
string.toLowerCase();
```

```js
string.toLowerCase();
```
VD:

```js
var a = ""HỌC LẬP TRÌNH ONLINE TOIDICODE.COM"";
a.toUpperCase();
```

```js
var a = ""HỌC LẬP TRÌNH ONLINE TOIDICODE.COM"";
a.toUpperCase();
```
Xem Kết Quả"
21,Bài 25: Các hàm xử lý chuỗi trong Javascript,"3, Lời Kết.","-Như vậy qua phần này mình đã trình bày xong cơ bản vềchuỗi trong javascript rồi, các bạn chú ý ôn cho chắc phần này nhé. Bài tiếp theo chúng ta sẽ tìm hiểu vềSố - Numbers trong javascript."
22,Bài 24: Đối tượng date trong javascript,Giới thiệu,"Bài này, chúng ta sẽ tìm hiểu về đối tượng date trong javascript. Một đối tượng được dùng rất là nhiều trên các trang web."
23,Bài 24: Đối tượng date trong javascript,"1, Đối tượng date trong javascript.","-Đối tượng date trong javascript là nơi xử lý các vấn đề về thời gian.
-Để khởi tạo đối tượng date trong javascript chúng ta có 4 cách:
+ Khởi tạo ngày giờ tại thời điểm hiện tại:

```js
new Date();
```

```js
new Date();
```
Xem ví dụ
+Khởi tạo ngày giờ từ giá trị time millisecond:

```js
new Date(milliseconds);
```

```js
new Date(milliseconds);
```
Trong đó: milliseconds là thời gian chúng ta muốn khởi tạo đơn vị mili giây.
Xem ví dụ
+Khởi tạo ngày giờ từ một dateString:

```js
new Date(dateString);
```

```js
new Date(dateString);
```
Trong đó: dateString có dạng ""tháng ngày, năm giờ:phút:giây"" trong đó tháng là tên tiếng anh. VD: April 06, 2017 12:00:00.
Xem ví dụ
+Khởi tạo ngày giờ từ một date string dạng atrribute:

```js
new Date(year, month, day, hours, minutes, seconds, milliseconds)
```

```js
new Date(year, month, day, hours, minutes, seconds, milliseconds)
```
Trong đó:
Xem ví dụ"
24,Bài 24: Đối tượng date trong javascript,Các phương thức get dữ liệu,"VD:

```js
function get() {
    var date = new Date();
    var data = 'Ngày trong tháng: ' + date.getDate() + '<br />';
    data += 'Ngày trong tuần: ' + date.getDay() + '<br />';
    data += 'Tháng trong năm: ' + date.getMonth() + '<br />';
    data += 'Năm đầy đủ: ' + date.getFullYear() + '<br />';
    data += 'Giờ: ' + date.getHours() + '<br />';
    data += 'Phút: ' + date.getMinutes() + '<br />';
    data += 'Giây: ' + date.getSeconds() + '<br />';
    data += 'Mili Giây: ' + date.getMilliseconds() + '<br />';
    data += 'Time dạng mili giây: ' + date.getTime() + '<br />';
    document.getElementById('result').innerHTML = data;
}
```

```js
function get() {
    var date = new Date();
    var data = 'Ngày trong tháng: ' + date.getDate() + '<br />';
    data += 'Ngày trong tuần: ' + date.getDay() + '<br />';
    data += 'Tháng trong năm: ' + date.getMonth() + '<br />';
    data += 'Năm đầy đủ: ' + date.getFullYear() + '<br />';
    data += 'Giờ: ' + date.getHours() + '<br />';
    data += 'Phút: ' + date.getMinutes() + '<br />';
    data += 'Giây: ' + date.getSeconds() + '<br />';
    data += 'Mili Giây: ' + date.getMilliseconds() + '<br />';
    data += 'Time dạng mili giây: ' + date.getTime() + '<br />';
    document.getElementById('result').innerHTML = data;
}
```
Xem Kết Quả
-Tương tự chúng ta cũng có các Hàm lấy ra thời gian dạng UTC.
VD:

```js
function get() {
    var date = new Date();
    var data = 'Ngày trong tháng: ' + date.getUTCDate() + '<br />';
    data += 'Ngày trong tuần: ' + date.getUTCDay() + '<br />';
    data += 'Tháng trong năm: ' + date.getUTCMonth() + '<br />';
    data += 'Năm đầy đủ: ' + date.getUTCFullYear() + '<br />';
    data += 'Giờ: ' + date.getUTCHours() + '<br />';
    data += 'Phút: ' + date.getUTCMinutes() + '<br />';
    data += 'Giây: ' + date.getUTCSeconds() + '<br />';
    data += 'Mili Giây: ' + date.getUTCMilliseconds() + '<br />';
    document.getElementById('result').innerHTML = data;
}
```

```js
function get() {
    var date = new Date();
    var data = 'Ngày trong tháng: ' + date.getUTCDate() + '<br />';
    data += 'Ngày trong tuần: ' + date.getUTCDay() + '<br />';
    data += 'Tháng trong năm: ' + date.getUTCMonth() + '<br />';
    data += 'Năm đầy đủ: ' + date.getUTCFullYear() + '<br />';
    data += 'Giờ: ' + date.getUTCHours() + '<br />';
    data += 'Phút: ' + date.getUTCMinutes() + '<br />';
    data += 'Giây: ' + date.getUTCSeconds() + '<br />';
    data += 'Mili Giây: ' + date.getUTCMilliseconds() + '<br />';
    document.getElementById('result').innerHTML = data;
}
```
Xem Kết Quả"
25,Bài 24: Đối tượng date trong javascript,Các phương thức set,"VD:

```js
function set() {
    var date = new Date();
    date.setDate(06);
    date.setMonth(04);
    date.setFullYear(2017);
    date.setHours(15);
    date.setMinutes(05);
    date.setSeconds(10)
    date.setMilliseconds(120);
}
```

```js
function set() {
    var date = new Date();
    date.setDate(06);
    date.setMonth(04);
    date.setFullYear(2017);
    date.setHours(15);
    date.setMinutes(05);
    date.setSeconds(10)
    date.setMilliseconds(120);
}
```
Xem Kết Quả
-Và tương tự chúng ta cũng có các set dạng UTC.
VD:

```js
function set() {
    var date = new Date();
    date.setUTCDate(06);
    date.setUTCMonth(04);
    date.setUTCFullYear(2017);
    date.setUTCHours(15);
    date.setUTCMinutes(05);
    date.setUTCSeconds(5);
    date.setUTCMilliseconds(120);
}
```

```js
function set() {
    var date = new Date();
    date.setUTCDate(06);
    date.setUTCMonth(04);
    date.setUTCFullYear(2017);
    date.setUTCHours(15);
    date.setUTCMinutes(05);
    date.setUTCSeconds(5);
    date.setUTCMilliseconds(120);
}
```
Xem Kết Quả"
26,Bài 24: Đối tượng date trong javascript,Các phương thức khác.,"-Bên cạnh các hàm get và set thì đối tượng date còn hỗ trợ chúng ta các phương thức:
VD:

```js
function get() {
    var date = new Date();
    var data = 'toDateString(): ' + date.toDateString() + '<br />';
    data += 'toISOString(): ' + date.toISOString() + '<br />';
    data += 'toJSON(): ' + date.toJSON() + '<br />';
    data += 'toLocaleDateString(): ' + date.toLocaleDateString() + '<br />';
    data += 'toLocaleTimeString(): ' + date.toLocaleTimeString() + '<br />';
    data += 'toString(): ' + date.toString() + '<br />';
    data += 'valueOf(): ' + date.valueOf() + '<br />';
    document.getElementById('result').innerHTML = data;
}
```

```js
function get() {
    var date = new Date();
    var data = 'toDateString(): ' + date.toDateString() + '<br />';
    data += 'toISOString(): ' + date.toISOString() + '<br />';
    data += 'toJSON(): ' + date.toJSON() + '<br />';
    data += 'toLocaleDateString(): ' + date.toLocaleDateString() + '<br />';
    data += 'toLocaleTimeString(): ' + date.toLocaleTimeString() + '<br />';
    data += 'toString(): ' + date.toString() + '<br />';
    data += 'valueOf(): ' + date.valueOf() + '<br />';
    document.getElementById('result').innerHTML = data;
}
```
Xem Kết Quả"
27,Bài 24: Đối tượng date trong javascript,"3, Lời kết.",-Ngoài các phương thức trên thì có còn một số phương thức khác rất ít khi dùng mà mình không nhắc đến ở trên. Các bạn cần có thể tự tìm hiểu thêm nhé!
28,Bài 27: Đối tượng Math trong Javascript,Giới thiệu,Trong các ngôn ngữ luôn luôn tồn tại một phần để xử lý tính toán và với Javascript cũng không ngoại lệ.
29,Bài 27: Đối tượng Math trong Javascript,"1, Đối tượng Math trong javascript.","- Đối tượngMathtrong javascript chứa các thuộc tính, phương thức xử lý toán học. Chúng ta có thể gọi nó từ bất kỳ đâu mà không phải khởi tạo.

```js
Math
```
Cú Pháp:

```js
Math.property|method;
```

```js
Math.property|method;
```"
30,Bài 27: Đối tượng Math trong Javascript,"2, Các thuộc tính trong đối tượng Math.","-Sau đây mình xin được liệt kê ra các thuộc tính trong đối tượngMathvà chức năng của nó.

```js
Math
```
VD:

```js
function showMath()
{
    var data = '';
    data += 'E = ' + Math.E + '<br>';
    data += 'LN2 = ' + Math.LN2 + '<br>';
    data += 'LN10 = ' + Math.LN10 + '<br>';
    data += 'LOG2E = ' + Math.LOG2E + '<br>';
    data += 'LOG10E = ' + Math.LOG10E + '<br>';
    data += 'PI = ' + Math.PI + '<br>';
    data += 'SQRT1_2 = ' + Math.SQRT1_2 + '<br>';
    data += 'SQRT2 = ' + Math.SQRT2 + '<br>';
    document.getElementById('result').innerHTML = data;
}
```

```js
function showMath()
{
    var data = '';
    data += 'E = ' + Math.E + '<br>';
    data += 'LN2 = ' + Math.LN2 + '<br>';
    data += 'LN10 = ' + Math.LN10 + '<br>';
    data += 'LOG2E = ' + Math.LOG2E + '<br>';
    data += 'LOG10E = ' + Math.LOG10E + '<br>';
    data += 'PI = ' + Math.PI + '<br>';
    data += 'SQRT1_2 = ' + Math.SQRT1_2 + '<br>';
    data += 'SQRT2 = ' + Math.SQRT2 + '<br>';
    document.getElementById('result').innerHTML = data;
}
```
Xem Kết Quả"
31,Bài 27: Đối tượng Math trong Javascript,"3, Các phương thức trong đối tượng Math.","-Trong đối tượng Math có hỗ trợ chúng ta 18 phương thức để xử lý tính toán như sau:
Xem Kết Quả"
32,Bài 27: Đối tượng Math trong Javascript,"3, Lời kết.","-Như vậy, mình đã giới thiệu xong đến mọi người vềđối tượng Math trong javascript. Đối tượng này sẽ được sử dụng rất nhiều khi các bạn làm game web."
33,Bài 21: Đối tượng navigator trong javascript,Giới thiệu,"Bạn có bao giờ nghĩ bằng javascript các bạn có biết được các thông số của trình duyệt mà người dùng đang sử dụng như tên,version,.. không? Bài này chúng ta sẽ cùng giải quyết điều đó."
34,Bài 21: Đối tượng navigator trong javascript,"1, Đối tượng navigator.","-Đối tượng navigator trong javascript là nơi lưu trữ tất cả các thông tin về trình duyệt mà người dùng đang sử dụng để truy cập vào website của chúng ta. Và đối tượng navigator này cũng thuộc nhómBOMtrong javascript.
Cú Pháp:

```js
window.navigator;
//hoặc
navigator;
```

```js
window.navigator;
//hoặc
navigator;
```"
35,Bài 21: Đối tượng navigator trong javascript,appCodeName,"-Thuộc tính này trả vềcode namecủa trình duyệt mà khách truy cập đang sủ dụng.
Cú Pháp:

```js
navigator.appCodeName;
```

```js
navigator.appCodeName;
```
Xem Kết Quả"
36,Bài 21: Đối tượng navigator trong javascript,appName,"-Thuộc tính này trả về tên của trình duyệt mà khách truy cập đang sử dụng.
Cú Pháp:

```js
navigator.appName;
```

```js
navigator.appName;
```
Xem Kết Quả"
37,Bài 21: Đối tượng navigator trong javascript,appVersion,"-Thuộc tính này trả về version của trình duyệt mà khách đang truy cập.
Cú Pháp:

```js
navigator.appversion;
```

```js
navigator.appversion;
```
Xem Kết Quả"
