id,bai,tieude,noidung
11,Bất đồng bộ song song hay tuần tự?,Lời kết,"Trên đây mình đã giới thiệu với bạn 2 cách xử lý bất đồng bộ song song và tuần tự rồi. Trong bài toán trên, 3 hành động là hoàn toàn độc lập nhau. Do đó, nếu làm thực tế thì mình sẽ lựa chọn xử lý bất đồng bộ song song. Vì thời gian thực hiện là ngắn hơn đáng kể so với cách xử lý bất đồng bộ tuần tự. Ngược lại, chỉ khi nào các hành động phụ thuộc lẫn nhau thì mình mới sử dụng cách xử lý bất đồng bộ tuần tự mà thôi.
Bạn đã biết cách xử lý bất đồng bộ song song chưa? Và nếu bạn đã từng làm nó rồi thì cách thực hiện của bạn là gì? Ngoài cách sử dụng Promise.all như trên thì còn cách nào nữa không? Chia sẻ với mình và mọi người trong phần bình luận nhé!
Xin chào và hẹn gặp lại, thân ái!"
12,"Xử lý bất đồng bộ với callback, promise, async/await",Giới thiệu,"Khi lập trình JavaScript, bạn sẽ thường xuyên phải thực hiện các công việc mất thời gian như: request lên server, lấy dữ liệu từ database, đọc/ghi file,... Nếu bạn chỉ xử lý đồng bộ thôi thì chắc chắn sẽ rất mất thời gian. Để giải quyết vấn đề này, JavaScript cung cấp một số công cụ hỗ trợ bạnxử lý bất đồng bộrất tốt như sử dụngcallback, promise hayasync/await.
Trong bài viết này, mình sẽ cùng nhau tìm hiểu xem xử lý bất đồng bộ là gì? Tại sao phải xử lý bất đồng bộ? Và các cách để xử lý bất đồng bộ trong JavaScript. Mời bạn theo dõi bài viết!"
13,"Xử lý bất đồng bộ với callback, promise, async/await",Cơ bản về xử lý bất đồng bộ,"Giả sử bạn có một nhiệm vụ bao gồm 2 công việc tốn thời gian, tạm gọi là A và B.
Đối với xử lý đồng bộ, bạn sẽ thực hiện công việc A; đợi A hoàn thành xong thì sẽ thực hiện B; rồi lại đợi B hoàn thành thì nhiệm vụ cuối cùng mới coi như xong.
Nghĩa là thời gian để hoàn thành nhiệm vụ là tổng của thời gian hoàn thành A và B. Hơn nữa, trong khoảng thời gian này bạn sẽ không thể thực hiện thêm 1 hành động nào khác (như bắt cácsự kiệnvới chuột và bàn phím của người dùng...). Điều này rõ ràng làm giảm hiệu năng và trải nghiệm người dùng đối với chương trình.
Để khắc phục tình trạng này, các ngôn ngữ lập trình như C/C++, Java,... sẽ sử dụngcơ chế đa luồng (multi-thread). Nghĩa là mỗi công việc tốn thời gian sẽ được thực hiện trên một thread riêng biệt mà không can thiệp vào thread chính. Bạn vẫn có thể thực hiện các công việc tốn thời gian mà vẫn có thể bắt các sự kiện ở thread chính.
Với ví dụ trên, thời gian để hoàn thành nhiệm vụ sẽ chỉ bằng thời gian hoàn thành của A hoặc B. Cái nào thực hiện xong trước sẽ đợi cái còn lại hoàn thành thì nhiệm vụ sẽ kết thúc.
Tuy nhiên, JavaScript lại là một câu chuyện khác. Hai nền tảng quan trọng với JavaScript (trình duyệt và Nodejs đều làsingle-thread. Chính vì vậy, bạn không thể xử lý đa luồng với JavaScript được mà phải sử dụng cơ chếxử lý bất đồng bộ.
Với cách xử lý bất đồng bộ, khi A bắt đầu thực hiện, chương trình tiếp tục thực hiện B mà không đợi A kết thúc. Việc mà bạn cần làm ở đây là cung cấp một phương thức để chương trình thực hiện khi A hoặc B kết thúc.
Cơ chế giúp bạn thực hiện việc này trong JavaScript có thể là sử dụngCallback,PromisehoặcAsync/await."
14,"Xử lý bất đồng bộ với callback, promise, async/await",Sử dụng Callback để xử lý bất đồng bộ,"Sử dụng Callbackcó thể nói là cách đầu tiên và dễ nhất giúp bạn xử lý bất đồng bộ. Khi định nghĩa mộtfunctionthực hiện một nhiệm vụ tốn thời gian, bạn cần truyền thêm tham số vào hàm - đóng vai trò làhàm callback.
Khi hành động bắt đầu, rồi khi nó kết thúc, hàm callback sẽ được gọi ngay sau đó.
Ví dụ dưới đây sẽ thực hiện mộtGETrequest. Thông thường, việc này sẽ tốn thời gian (ít hay nhiều tuỳ thuộc vào tốc độ mạng):

```js
function doAsync(url, onSuccess, onError) {
  const xhr = new XMLHttpRequest();
  xhr.open(""GET"", url);
  xhr.onload = () => onSuccess(xhr.responseText);
  xhr.onerror = () => onError(xhr.statusText);
  xhr.send();
}
// Usage:
doAsync(
  ""https://something.com"",
  (value) => {
    // 'value' is corresponding with 'xhr.responseText'
  },
  (error) => {
    // 'error' is corresponding with 'xhr.statusText'
  }
);
```
`function doAsync(url, onSuccess, onError) {
  const xhr = new XMLHttpRequest();
  xhr.open(""GET"", url);
  xhr.onload = () => onSuccess(xhr.responseText);
  xhr.onerror = () => onError(xhr.statusText);
  xhr.send();
}
// Usage:
doAsync(
  ""https://something.com"",
  (value) => {
    // 'value' is corresponding with 'xhr.responseText'
  },
  (error) => {
    // 'error' is corresponding with 'xhr.statusText'
  }
);` Ở đây, hàmdoAsynclà một hàm bất đồng bộ với 2 hàm callback là:onSuccessvàonError. Khi request trên thành công thì hàmonSuccesssẽ được gọi, ngược lại hàmonErrorsẽ được gọi. Khá dễ hiểu và dễ triển khai phải không?
Tuy nhiên, thử tưởng tượng bạn phải thực hiện 2 request liên tiếp, với request thứ 2 chỉ thực hiện khi request thứ nhất thực hiện xong:

```js
// Usage:
doAsync(
  ""https://something.com"",
  (value) => {
    // 'value' is corresponding with 'xhr.responseText' (1)

    doAsync(
      ""https://other.com"",
      (value) => {
        // 'value' is corresponding with 'xhr.responseText' (2)
      },
      (error) => {
        // 'error' is corresponding with 'xhr.statusText' (2)
      }
    );
  },
  (error) => {
    // 'error' is corresponding with 'xhr.statusText' (1)
  }
);
```
`// Usage:
doAsync(
  ""https://something.com"",
  (value) => {
    // 'value' is corresponding with 'xhr.responseText' (1)

    doAsync(
      ""https://other.com"",
      (value) => {
        // 'value' is corresponding with 'xhr.responseText' (2)
      },
      (error) => {
        // 'error' is corresponding with 'xhr.statusText' (2)
      }
    );
  },
  (error) => {
    // 'error' is corresponding with 'xhr.statusText' (1)
  }
);` Bắt đầu phức tạp rồi nhỉ? Và nếu bạn phải thực hiện thêm vài request khác nữa thì kết quả chắc chắn sẽ còn kinh khủng hơn rất nhiều. Trường hợp này gọi làCallback Hell.
Để tránh Callback Hell, bạn có thể sử dụng một cơ chế khác. Đó là Promise."
15,"Xử lý bất đồng bộ với callback, promise, async/await",Sử dụng Promise để xử lý bất đồng bộ,"Cú pháp cơ bản củaPromiselà:

```js
let promise = new Promise(function (resolve, reject) {
  // Code here
});
```
`let promise = new Promise(function (resolve, reject) {
  // Code here
});` Trong đó, hàm được truyền vàonew Promisegọi làexecutor.
Ban đầu, Promise có state làpendingvà kết quảvaluelàundefined. Khi executor kết thúc công việc, nó sẽ gọi đến 1 trong 2 hàm được truyền vào:
Khi sử dụng Promise, ví dụ phía trên sẽ trở thành:

```js
function doAsync(url) {
  return new Promise((resolve, reject) => {
    const xhr = new XMLHttpRequest();
    xhr.open(""GET"", url);
    xhr.onload = () => resolve(xhr.responseText);
    xhr.onerror = () => reject(xhr.statusText);
    xhr.send();
  });
}

// Usage:
doAsync(""https://something.com"")
  .then((value) => {
    // 'value' is corresponding with 'xhr.responseText'
  })
  .catch((error) => {
    // 'error' is corresponding with 'xhr.statusText'
  });
```
`function doAsync(url) {
  return new Promise((resolve, reject) => {
    const xhr = new XMLHttpRequest();
    xhr.open(""GET"", url);
    xhr.onload = () => resolve(xhr.responseText);
    xhr.onerror = () => reject(xhr.statusText);
    xhr.send();
  });
}

// Usage:
doAsync(""https://something.com"")
  .then((value) => {
    // 'value' is corresponding with 'xhr.responseText'
  })
  .catch((error) => {
    // 'error' is corresponding with 'xhr.statusText'
  });` Và khi bạn muốn thực hiện 2 request liên tiếp:

```js
// Usage:
doAsync(""https://something.com"")
  .then((value) => {
    /*
     * 'value' is corresponding with 'xhr.responseText'
     * from 'https://something.com'
     */
    return doAsync(""https://other.com"");
  })
  .then((value) => {
    /*
     * 'value' is corresponding with 'xhr.responseText'
     * from 'https://other.com'
     */
  })
  .catch((error) => {
    /*
     * 'error' is corresponding with 'xhr.statusText'
     * from either 'https://something.com' or 'https://other.com'
     */
  });
```
`// Usage:
doAsync(""https://something.com"")
  .then((value) => {
    /*
     * 'value' is corresponding with 'xhr.responseText'
     * from 'https://something.com'
     */
    return doAsync(""https://other.com"");
  })
  .then((value) => {
    /*
     * 'value' is corresponding with 'xhr.responseText'
     * from 'https://other.com'
     */
  })
  .catch((error) => {
    /*
     * 'error' is corresponding with 'xhr.statusText'
     * from either 'https://something.com' or 'https://other.com'
     */
  });` Rõ ràng, cấu trúc chương trình đã trở nên rõ ràng hơn. Không còn hiện tượng nhiều mức lồng nhau như khi sử dụng callback nữa rồi."
16,"Xử lý bất đồng bộ với callback, promise, async/await",Sử dụng Async/await để xử lý bất đồng bộ,"Async/awaitlà một cú pháp đặc biệt giúp bạn làm việc với Promise dễ dàng hơn. Khi sử dụng async/await, cấu trúc chương trình xử lý bất đồng bộ sẽ giống với chương trình xử lý đồng bộ hơn.
Với ví dụ sử dụng Promise bên trên, mình có thể áp dụng async/await như sau:

```js
function doAsync(url) {
  return new Promise((resolve, reject) => {
    const xhr = new XMLHttpRequest();
    xhr.open(""GET"", url);
    xhr.onload = () => resolve(xhr.responseText);
    xhr.onerror = () => reject(xhr.statusText);
    xhr.send();
  });
}

// Usage:
async function run() {
  let responseText1, responseText2;

  try {
    responseText1 = await doAsync(""https://something.com"");
    responseText2 = await doAsync(""https://other.com"");
  } catch (error) {
    /*
     * 'error' is corresponding with 'xhr.statusText'
     * from either 'https://something.com' or 'https://other.com'
     */
  }
}

run();
```
`function doAsync(url) {
  return new Promise((resolve, reject) => {
    const xhr = new XMLHttpRequest();
    xhr.open(""GET"", url);
    xhr.onload = () => resolve(xhr.responseText);
    xhr.onerror = () => reject(xhr.statusText);
    xhr.send();
  });
}

// Usage:
async function run() {
  let responseText1, responseText2;

  try {
    responseText1 = await doAsync(""https://something.com"");
    responseText2 = await doAsync(""https://other.com"");
  } catch (error) {
    /*
     * 'error' is corresponding with 'xhr.statusText'
     * from either 'https://something.com' or 'https://other.com'
     */
  }
}

run();` Nếu xử lý theo cách này thì dù bạn có thực hiện thêm nhiều request nữa, cấu trúc chương trình vẫn rất rõ ràng và mạch lạc phải không?
Và theo mình, đây có lẽ là cách tốt nhất để xử lý bất đồng bộ trong JavaScript, theo quan điểm của bạn thì sao nhỉ?"
17,"Xử lý bất đồng bộ với callback, promise, async/await",Lời kết,"Trên đây là một số kiến thức cơ bản về xử lý bất đồng bộ trong JavaScript với callback, promise và async/await. Bài này không viết chi tiết về Promise hay async/await mà chỉ giúp bạn thấy được cách sử dụng cơ bản, cũng như ưu điểm của chúng so với việc sử dụng callback thông thường.
Để biết thêm về Promise và async/await, bạn có thể tham khảo thêm trong các bài viết dưới đây:
Xin chào và hẹn gặp lại, thân ái!"
18,Tìm hiểu biến trong JavaScript,Giới thiệu,"Nếu như trong toán học có khái niệmbiến sốthì trong lập trình cũng có khái niệm biến. Đây là một thành phần không thể thiếu trong lập trình. Vì vậy, bài viết này mình sẽ tập trung vào tìm hiểu xem biến là gì, cách khai báo biến trong JavaScript và quy tắc đặt tên biến."
19,Tìm hiểu biến trong JavaScript,Biến là gì?,"Biến là ""tên biểu tượng"" dùng để đại diện cho một giá trị. Và giá trị của biến có thể thay đổi trong chương trình.
Giả sửxlà số lượng người đang đọc bài viết này, thìxchính là một biến. Ví dụ giá trị của biếnxbây giờ là 100. Nhưng năm phút sau, số lượng người đọc bài viết tăng lên thành 150. Lúc này, giá trị của biếnxsẽ là 150.
`x` `x` `x` `x`"
20,Tìm hiểu biến trong JavaScript,Cách khai báo biến trong JavaScript,"Để khai báo biến trong JavaScript, bạn dùng từ khóalet(từ khóavarđã lỗi thời và không nên sử dụng).
`let` `var` Cú pháp khai báo biến như sau:

```js
let <tên biến>;
```
`let <tên biến>;` Ví dụ câu lệnh sau khai báo một biến số có tên là ""language"":

```js
let language;
```
`let language;` Bây giờ, bạn có thể gán giá trị cho biến ""language"" sử dụng toán tử gán (=):
`=` 
```js
let language;

language = ""JavaScript"";
```
`let language;

language = ""JavaScript"";` Nghĩa là biến ""language"" đang liên kết đến vùng nhớ có giá trị là ""JavaScript"". Và bạn có thể truy cập đến vùng nhớ bằng cách sử dụng tên của biến như sau:

```js
let language;

language = ""JavaScript"";

console.log(language); // Kết quả hiển thị trên console là: ""JavaScript""
```
`let language;

language = ""JavaScript"";

console.log(language); // Kết quả hiển thị trên console là: ""JavaScript""` Để ngắn gọn, bạn có thể khai báo biến và gán giá trị cho biến trên cùng một dòng:

```js
let language = ""JavaScript"";
console.log(language); // JavaScript
```
`let language = ""JavaScript"";
console.log(language); // JavaScript` Để khai báo nhiều biến, bạn có thể dùng dấu phẩy (,) để ngăn cách các biến trên cùng một dòng:
`,` 
```js
let language = ""JavaScript"",
  message = ""Hello"",
  date = ""Monday"";
```
`let language = ""JavaScript"",
  message = ""Hello"",
  date = ""Monday"";` Ngoài ra, bạn cũng có thể viết như sau:

```js
let language = ""JavaScript"",
  message = ""Hello"",
  date = ""Monday"";
```
`let language = ""JavaScript"",
  message = ""Hello"",
  date = ""Monday"";` Hoặc cho dấu phẩy lên đầu:

```js
let language = ""JavaScript"",
  message = ""Hello"",
  date = ""Monday"";
```
`let language = ""JavaScript"",
  message = ""Hello"",
  date = ""Monday"";` Tuy nhiên, mình thấy khai báo mỗi biến trên một dòng là dễ nhìn hơn cả:

```js
let language = ""JavaScript"";
let message = ""Hello"";
let date = ""Monday"";
```
`let language = ""JavaScript"";
let message = ""Hello"";
let date = ""Monday"";` Về cơ bản thì các cách trên đều giống nhau, tùy thuộc thói quen và sở thích của bạn mà lựa chọn cho phù hợp."
21,Tìm hiểu biến trong JavaScript,Cách thay đổi giá trị của biến số,"Để thay đổi giá trị của biến, bạn chỉ cần gán giá trị mới cho nó, ví dụ:

```js
// Khai báo biến và gán giá trị ban đầu
let language = ""JavaScript"";
console.log(language); // JavaScript

// Thay đổi giá trị của biến
language = ""React"";
console.log(language); // React
```
`// Khai báo biến và gán giá trị ban đầu
let language = ""JavaScript"";
console.log(language); // JavaScript

// Thay đổi giá trị của biến
language = ""React"";
console.log(language); // React` Hoặc bạn cũng có thể gán giá trị của biến số này cho biến số khác, ví dụ:

```js
// Khai báo biến và gán giá trị ban đầu
let language1 = ""JavaScript"";
console.log(language1); // JavaScript

// Khai báo biến số 2
let language2;

// Gán giá trị của biến language1 cho biến language2
language2 = language1;
console.log(language2); // JavaScript

// Giá trị của biến language1 vẫn không đổi
console.log(language1); // JavaScript
```
`// Khai báo biến và gán giá trị ban đầu
let language1 = ""JavaScript"";
console.log(language1); // JavaScript

// Khai báo biến số 2
let language2;

// Gán giá trị của biến language1 cho biến language2
language2 = language1;
console.log(language2); // JavaScript

// Giá trị của biến language1 vẫn không đổi
console.log(language1); // JavaScript`"
22,Tìm hiểu biến trong JavaScript,Quy tắc đặt tên biến trong JavaScript,"Quy tắc đặt tên biến trong JavaScript như sau:
`_` `$` Từ khoá (keywords) là những từ mang ý nghĩa đặc biệt. Từletlà một từ khoá, với ý nghĩa là để khai báo biến.
Từ dự trữ (reserved words) là những từ sẽ được dùng làm từ khoá cho những phiên bản sau của JavaScript. Bạn không thể sử dụng từ khoá hay từ dự trữ để đặt tên cho biến số.
Danh sách những từ khoá và những từ dự trữ:
breakcasecatchclassconstcontinuedebuggerdefaultdeletedoelseenumexportextendsfalsefinallyforfunctionifimplementsimportininstanceofinterfaceletnewnullpackageprivateprotectedpublicreturnstaticsuperswitchthisthrowtruetrytypeofvarvoidwhilewithyield
`break` `case` `catch` `class` `const` `continue` `debugger` `default` `delete` `do` `else` `enum` `export` `extends` `false` `finally` `for` `function` `if` `implements` `import` `in` `instanceof` `interface` `let` `new` `null` `package` `private` `protected` `public` `return` `static` `super` `switch` `this` `throw` `true` `try` `typeof` `var` `void` `while` `with` `yield` Ví dụ những tên biến hợp lệ:

```js
let temp = 100;
let _result3 = 10;
let $_$ = ""hehehe"";
let I_AM_HUNGRY = true;
let dientichao = 999;
```
`let temp = 100;
let _result3 = 10;
let $_$ = ""hehehe"";
let I_AM_HUNGRY = true;
let dientichao = 999;` Ví dụ những tên biến không hợp lệ:

```js
let point% = 50;       // sử dụng kí tự đặc biệt %
let 2you = 'passtion'; // bắt đầu bằng số
let null = 'oh no';    // sử dụng từ khoá ""null""
```
`let point% = 50;       // sử dụng kí tự đặc biệt %
let 2you = 'passtion'; // bắt đầu bằng số
let null = 'oh no';    // sử dụng từ khoá ""null""` 📝 Một số chú ý khi đặt tên biến:"
