id,bai,tieude,noidung
11,JS 2.1 Variable - Data type,Bài tập,"Cho chương trình mẫu. Khai báo các biến để chương trình in ra các giá trị sau
Đầu vào
: Không có
Đầu ra
: hiển thị các giá trị sau
24
JavaScript
[ 1, 2 ]
{ a: 'x', b: 'y' }
```js
24
JavaScript
[ 1, 2 ]
{ a: 'x', b: 'y' }
```"
12,JS 2.1 Variable - Data type,Gợi ý,Đọc phần lý thuyết để biết về các kiểu dữ liệu của biến trong javascript
13,JS 2.1 Variable - Data type,Lý thuyết,"Hiểu về các kiểu dữ liệu của biến trong javascript
Các kiểu dữ liệu về cơ bản chỉ định loại dữ liệu nào có thể được lưu trữ và các sử dụng trong một chương trình.
Có sáu loại dữ liệu cơ bản trong JavaScript có thể được chia thành ba loại chính: nguyên thủy (hoặc sở cấp), hỗn hợp (hoặc tham chiếu) và các loại dữ liệu đặc biệt. Chuỗi, Số và Boolean là các kiểu dữ liệu nguyên thủy. Object, Array và Function (là tất cả các loại đối tượng) là các kiểu dữ liệu hỗn hợp. Trong đó Undefined và Null là các loại dữ liệu đặc biệt.
Các kiểu dữ liệu nguyên thủy chỉ có thể giữ một giá trị tại một thời điểm, trong khi các kiểu dữ liệu hỗn hợp có thể chứa các tập hợp các giá trị và các thực thể phức tạp hơn.
String (Kiểu chuỗi)
Kiểu dữ liệu chuỗi được sử dụng để thể hiện dữ liệu văn bản (nghĩa là các chuỗi ký tự). Chuỗi được tạo bằng cách sử dụng dấu ngoặc đơn hoặc kép bao quanh một hoặc nhiều ký tự, như hiển thị bên dưới:
```js
vara='Hi';// using single quotesvarb=""Hi"";// using double quotes
```
Bạn có thể thêm dấu ngoặc đơn hoặc kép vào trong chuỗi
```js
vara=""Let's have a cup of coffee."";// single quote inside double quotesvarb='He said ""Hello"" and left.';// double quotes inside single quotesvarc='We\'ll never give up.';// escaping single quote with backslash
```
Number (Kiểu số)
Kiểu dữ liệu số được sử dụng để biểu thị các số dương hoặc âm có hoặc không có vị trí thập phân hoặc các số được viết bằng ký hiệu số mũ như 1.5e-4 (tương đương 1.5x10
-4
)
```js
vara=25;// integervarb=80.5;// floating-point numbervarc=4.25e+6;// exponential notation, same as 4.25e6 or 4250000vard=4.25e-6;// exponential notation, same as 0.00000425
```
Kiểu dữ liệu Số cũng bao gồm một số giá trị đặc biệt đó là: Vô cực, âm vô cực và NaN. Vô cực đại diện cho
∞
, lớn hơn bất kỳ số nào. Vô cực là kết quả của việc chia một số khác không cho 0, như được minh họa dưới đây:
```js
console.log(16/0);// Output: Infinityconsole.log(-16/0);// Output: -Infinityconsole.log(16/-0);// Output: -Infinity
```
Trong khi
NaN
đại diện cho giá trị đặc biệt
Not-a-Number
(Không phải là số). Đó là kết quả của một phép toán không hợp lệ hoặc không xác định, như căn bậc 2 của -1, hay chia 0 cho 0. v.v
```js
console.log(""Some text""/2);// Output: NaNconsole.log(""Some text""/2+10);// Output: NaNconsole.log(Math.sqrt(-1));// Output: NaN
```
Boolean
Kiểu dữ liệu Boolean chỉ có thể chứa hai giá trị: true hoặc false. Nó thường được sử dụng để lưu trữ các giá trị như có (đúng) hoặc không (sai), on(đúng) hoặc off(sai), v.v. như được trình bày dưới đây:
```js
varisReading=true;// yes, I'm readingvarisSleeping=false;// no, I'm not sleeping
```
Các giá trị Boolean cũng là kết quả của sự so sánh trong một chương trình. Ví dụ sau so sánh hai biến và hiển thị kết quả:
```js
vara=1,b=4,c=5;console.log(b>a)// Output: trueconsole.log(b>c)// Output: false
```
Null
Đây là một loại dữ liệu đặc biệt khác chỉ có thể có một giá trị - giá trị null. Giá trị null có nghĩa là không có giá trị. Nó không tương đương với một chuỗi rỗng ("""") hoặc 0, nó chỉ đơn giản là không có gì.
Một biến có thể được làm trống rỗng , xóa bỏ nội dung hiện tại của nó bằng cách gán cho nó giá trị null.
```js
vara=null;console.log(a);// Output: nullvarb=""Hello World!""console.log(b);// Output: Hello World!b=null;console.log(b)// Output: null
```
Object (Kiểu đối tượng)
Object là một kiểu dữ liệu phức tạp cho phép bạn lưu trữ các tập dữ liệu.
An object contains properties, defined as a key-value pair. A property key (name) is always a string, but the value can be any data type, like strings, numbers, booleans, or complex data types like arrays, function and other objects. You'll learn more about objects in upcoming chapters.
Một object chứa các thuộc tính, được định nghĩa là một cặp key-value. key (tên thuộc tính) luôn là 1 chuỗi, Nhưng value (giá trị) của nó có thể là bất kỳ loại dữ liệu nào, như chuỗi, số, booleans hoặc các loại dữ liệu phức tạp như mảng, hàm và các đối tượng khác.
Ví dụ sau đây sẽ chỉ cho bạn cách đơn giản nhất để tạo một đối tượng trong JavaScript.
```js
varemptyObject={};varperson={""name"":""Clark"",""surname"":""Kent"",""age"":""36""};// For better readingvarcar={""modal"":""BMW X3"",""color"":""white"",""doors"":5}
```
Bạn có thể bỏ quả các dấu ngoạc trước và sau tên thuộc tính nếu nó là 1 tên hợp lệ. Nghĩa là dấu ngoạc là bắt buộc cho
""first-name""
nhưng không bắt buộc cho
firstname
. Như vậy object car ở trên có thể viết lại như sau:
```js
varcar={modal:""BMW X3"",color:""white"",doors:5}
```
Array (Kiểu mảng)
Mảng là một loại đối tượng được sử dụng để lưu trữ nhiều giá trị trong một biến. Mỗi giá trị (còn được gọi là một phần tử) trong một mảng có một vị trí số, được gọi là chỉ mục của nó và nó có thể chứa dữ liệu của bất kỳ loại dữ liệu nào - số, chuỗi, booleans, hàm, đối tượng và thậm chí các mảng khác. Chỉ số mảng bắt đầu từ 0, do đó phần tử mảng đầu tiên là arr[0] không phải là arr[1].
Cách đơn giản nhất để tạo một mảng là bằng cách chỉ định các thành phần mảng dưới dạng một danh sách được phân tách bằng dấu phẩy được bao quanh bởi dấu ngoặc vuông, như trong ví dụ dưới đây:
```js
varcolors=[""Red"",""Yellow"",""Green"",""Orange""];varcities=[""London"",""Paris"",""New York""];console.log(colors[0]);// Output: Redconsole.log(cities[2]);// Output: New York
```
Function (Kiểu hàm)
Hàm này là đối tượng có thể gọi được cái mà thực thi một khối lệnh. Vì các hàm là các đối tượng, vì vậy có thể gán chúng cho các biến, như trong ví dụ dưới đây:
```js
vargreeting=function(){return""Hello World!"";}// Check the type of greeting variableconsole.log(typeofgreeting)// Output: functionconsole.log(greeting());// Output: Hello World!
```"
14,JS - 2.5 constant,Bài tập,"Khai báo 1 hằng số có giá trị là 2019 và in nó ra màn hình
Đầu vào
: none
Đầu ra
: 2019"
15,JS - 2.5 constant,Gợi ý,Đọc phần lý thuyết sau để biết làm thế nào để khái báo hằng số trong JS
16,JS - 2.5 constant,Lý thuyết,"Sinh viên hiểu về hằng số và làm thế nào để khái báo hằng số
Hằng số trong các ngôn ngữ lập trình là một biến giá trị không thay đổi. Trong bài này, chúng ta sẽ học cú pháp để khai báo một hằng số trong Java script
Một hằng số được khai báo với từ khóa
const
. Giá trị của hằng số sẽ ko thể nào thay đổi khi đã khởi tạo:
```js
constPI=3.141592653589793;PI=3.14;// This will give an errorPI=PI+10;// This will also give an errorvara=PI+10;// OK
```
Các biến const JavaScript phải được gán một giá trị khi chúng được khai báo:
```js
// IncorrectconstPI;PI=3.14159265359;// CorrectconstPI=3.14159265359;
```
Hằng số Objects có thể thay đổi
Bạn có thể thay đổi các thuộc tính của một hằng số object:
```js
// You can create a const object:constcar={type:""Fiat"",model:""500"",color:""white""};// You can change a property:car.color=""red"";// You can add a property:car.owner=""Johnson"";
```
Nhưng bạn ko thể gán lại một hằng số object:
```js
constcar={type:""Fiat"",model:""500"",color:""white""};car={type:""Volvo"",model:""EX60"",color:""red""};// ERROR
```
Hằng số mảng có thể thay đổi
Bạn có thể thay đổi các phần tử của hằng số mảng:
```js
// You can create a constant array:constcars=[""Saab"",""Volvo"",""BMW""];// You can change an element:cars[0]=""Toyota"";// You can add an element:cars.push(""Audi"");
```
Nhưng cũng không thể gán lại hằng số mảng:
```js
constcars=[""Saab"",""Volvo"",""BMW""];cars=[""Toyota"",""Volvo"",""Audi""];// ERROR
```"
17,Creates a JavaScript Date instance,Bài tập,"Cho 3 số tự nhiên
year, month, day
. Sử dụng các phương thức date để khai báo
year
là năm,
month
là tháng và
day
là ngày và in ra ngày
Ví dụ
:
cho
year = 2019; month = 6; day = 24;
in ra
""06/24/2019""
Đầu vào
:
year, month, day
Đầu ra
: Khai báo
year
là năm,
month
là tháng và
day
là ngày và in ra ngày
cho
year = 2019; month = 6; day = 24;
in ra
""06/24/2019"""
18,Creates a JavaScript Date instance,Gợi ý,Đọc phần lý thuyết để biết các phương thức của date
19,Creates a JavaScript Date instance,Lý thuyết,"Các phương thức của date
Phương thức
Mô tả
getDate()
Nó trả về giá trị số nguyên từ 1 đến 31 đại diện cho ngày cho ngày đã chỉ định trên cơ sở giờ địa phương.
getDay()
Nó trả về giá trị nguyên từ 0 đến 6 đại diện cho ngày trong tuần trên cơ sở giờ địa phương.
getFullYears()
Nó trả về giá trị số nguyên biểu thị năm trên cơ sở giờ địa phương.
getHours()
Nó trả về giá trị nguyên từ 0 đến 23 đại diện cho giờ trên cơ sở giờ địa phương.
getMilliseconds()
Nó trả về giá trị số nguyên từ 0 đến 999 đại diện cho mili giây trên cơ sở thời gian địa phương.
getMinutes()
Nó trả về giá trị nguyên từ 0 đến 59 đại diện cho số phút trên cơ sở giờ địa phương.
getMonth()
Nó trả về giá trị nguyên từ 0 đến 11 đại diện cho tháng trên cơ sở giờ địa phương.
getSeconds()
Nó trả về giá trị nguyên từ 0 đến 60 đại diện cho giây trên cơ sở thời gian địa phương.
getUTCDate()
Nó trả về giá trị số nguyên từ 1 đến 31 đại diện cho ngày cho ngày đã chỉ định trên cơ sở thời gian thế gới.
getUTCDay()
Nó trả về giá trị nguyên từ 0 đến 6, đại diện cho ngày trong tuần trên cơ sở thời gian thế giới.
getUTCFullYears()
Nó trả về giá trị nguyên biểu thị năm trên cơ sở thời gian thế giới.
getUTCHours()
Nó trả về giá trị nguyên từ 0 đến 23 đại diện cho giờ trên cơ sở thời gian thế giới.
getUTCMinutes()
Nó trả về giá trị nguyên từ 0 đến 59 đại diện cho số phút trên cơ sở thời gian thế giới.
getUTCMonth()
Nó trả về giá trị nguyên từ 0 đến 11, đại diện cho tháng trên cơ sở thời gian thế giới+.
getUTCSeconds()
Nó trả về giá trị số nguyên từ 0 đến 60 đại diện cho giây trên cơ sở thời gian thế giới.
setDate()
Nó đặt 1 giá trị ngày cho ngày cụ thể trên cơ sở giờ địa phương.
setDay()
Nó đặt ngày cụ thể trong tuần trên cơ sở giờ địa phương.
setFullYears()
Nó đặt giá trị năm cho ngày đã chỉ định trên cơ sở giờ địa phương.
setHours()
Nó đặt giá trị giờ cho ngày đã chỉ định trên cơ sở giờ địa phương.
setMilliseconds()
Nó đặt giá trị mili giây cho ngày đã chỉ định trên cơ sở giờ địa phương.
setMinutes()
Nó đặt giá trị phút cho ngày đã chỉ định trên cơ sở giờ địa phương.
setMonth()
Nó đặt tháng cho ngày được chỉ định trên cơ sở giờ địa phương.
setSeconds()
Nó đặt giây cho ngày được chỉ định trên cơ sở giờ địa phương.
setUTCDate()
Nó đặt ngày cụ thể trong tuần trên cơ sở giờ thế giới.
setUTCDay()
Nó đặt ngày cụ thể trong tuần trên cơ sở thời gian thế giới.
setUTCFullYears()
Nó đặt giá trị năm cho ngày đã chỉ định trên cơ sở thời gian thế giới.
setUTCHours()
Nó đặt giá trị giờ cho ngày đã chỉ định trên cơ sở thời gian thế giới.
setUTCMilliseconds()
Nó đặt giá trị mili giây cho ngày đã chỉ định trên cơ sở thời gian thế giới.
setUTCMinutes()
Nó đặt giá trị phút cho ngày đã chỉ định trên cơ sở thời gian thế giới.
setUTCMonth()
Nó đặt giá trị phút cho ngày đã chỉ định trên cơ sở thời gian thế giới.
setUTCSeconds()
Nó đặt giá trị giây cho ngày đã chỉ định trên cơ sở thời gian thế giới.
toDateString()
Nó trả về phần ngày của một đối tượng Date.
toISOString()
Nó trả về ngày ở dạng chuỗi định dạng ISO.
toJSON()
Nó trả về một chuỗi đại diện cho đối tượng Date. Nó cũng tuần tự hóa đối tượng Date trong quá trình tuần tự hóa JSON.
toString()
Nó trả về ngày ở dạng chuỗi.
toTimeString()
Nó trả về phần thời gian của một đối tượng Date.
toUTCString()
Nó chuyển đổi ngày được chỉ định dưới dạng chuỗi bằng múi giờ UTC.
valueOf()
Nó trả về giá trị nguyên thủy của một đối tượng Date."
20,Date Methods,Bài tập,"Chạy code mẫu và xem kết quả trả về
Đầu vào
: None
Đầu ra
: None"
21,Date Methods,Gợi ý,Đọc phần lý thuyết sau để hiểu về các phương thức của Math
22,Date Methods,Lý thuyết,"Sinh viên hiểu về các phương thức toán học trong javascript
Math là một đối tượng tích hợp có các thuộc tính và phương thức cho các hằng số và hàm toán học. Không phải là một đối tượng chức năng.
Math làm việc với kiểu Number. Nó không làm việc với kiểu BigInt.
Không giống như các đối tượng toàn cục khác, Math không phải là một hàm tạo. Tất cả các thuộc tính và phương pháp của Math là tĩnh. Bạn gọi hằng số pi là Math.PI và bạn gọi hàm sin là Math.sin (x), trong đó x là đối số của phương thức. Các hằng số được xác định với độ chính xác đầy đủ của các số thực trong JavaScript.
Các phương thức phổ biến của Math
Phương thức
Mô tả
abs()
Trả về giá trị tuyệt đối của số đã cho
acos()
Trả về arccosine của số đã cho bằng radian.
asin()
Trả về arcsine của số đã cho bằng radian.
atan()
Trả về arc-tangentcủa số đã cho bằng radian.
cbrt()
Trả về căn bậc ba của số đã cho
ceil()
Trả về một giá trị nguyên nhỏ nhất, lớn hơn hoặc bằng số đã cho.
cos()
Trả về cosin của số đã cho.
cosh()
Trả về cosin hyperbol của số đã cho.
exp()
Trả về dạng số mũ của số đã cho.
floor()
Trả về giá trị nguyên lớn nhất, thấp hơn hoặc bằng số đã cho.
hypot()
Trả về căn bậc hai của tổng bình phương của các số đã cho.
log()
Trả về logarit tự nhiên của một số.
max()
Trả về giá trị tối đa của các số đã cho.
min()
Trả về giá trị tối thiểu của các số đã cho.
pow()
Nó trả về giá trị số mũ.
random()
Nó trả về số ngẫu nhiên trong khoảng từ 0 (đã bao gồm) và 1 (độc quyền).
round()
Nó trả về giá trị nguyên gần nhất của số đã cho.
sign()
Nó trả về dấu của số đã cho
sin()
Nó trả về sin của số đã cho.
sinh()
Nó trả về hyperbolic sine của số đã cho.
sqrt()
Nó trả về căn bậc hai của số đã cho
tan()
It returns the tangent of the given number.
Nó trả về tangent của số đã cho.
tanh()
Nó trả về hyperbolic tangent của số đã cho.
trunc()
Nó trả về một phần nguyên của số đã cho.
Ví dụ:
```js
Math.abs(-3);// returns 3Math.abs(4);// returns 4Math.acos(-2);// NaNMath.acos(-1);// 3.141592653589793Math.acos(0);// 1.5707963267948966Math.acos(0.5);// 1.0471975511965979Math.acos(1);// 0Math.acos(2);// NaNMath.asin(-2);// NaNMath.asin(-1);// -1.5707963267948966 (-pi/2)Math.asin(0);// 0Math.asin(0.5);// 0.5235987755982989Math.asin(1);// 1.5707963267948966 (pi/2)Math.asin(2);// NaNMath.atan(1);// 0.7853981633974483Math.atan(0);// 0Math.atan(-0);// -0Math.cbrt(8);// 2Math.ceil(1);// 1Math.ceil(1.01);// 2Math.floor(5.95);// 5Math.floor(5);// 5Math.hypot(3,4);// 5Math.hypot(5,12);// 13Math.max(1,3,2);// 3Math.max(-1,-3,-2);// -1Math.min(1,3,2);// 1Math.min(-1,-3,-2);// -2Math.pow(2,3);// 8Math.pow(7,2);// 49Math.pow(7,3);// 343Math.random();// random numberMath.round(5.95);// 6Math.round(5.5);// 6Math.round(5.05);// 5Math.sqrt(4);// 2Math.sqrt(9);// 3Math.trunc(13.37);// 13Math.trunc(-0.123);// 0Math.trunc(0.123);// 0
```"
23,Number exercise 01,Bài tập,"Cho n là 1 tham số. Viết chương trình kiểm tra n có phải là số hay không
Ví dụ
:
Cho
n = '';
In ra
false
Cho
n = 'abc';
In ra
false
Cho
n = 23;
In ra
true
Cho
n = 34.5;
In ra
true
Cho
n = '23.8';
In ra
true
Đầu vào
: n
Đầu ra
: Kiểm tra n có phải là số hay không (true hay false)
Cho
n = '';
In ra
false
Cho
n = 'abc';
In ra
false
Cho
n = 23;
In ra
true
Cho
n = 34.5;
In ra
true
Cho
n = '23.8';
In ra
true"
24,Number exercise 01,Gợi ý,"Read theory to understand more about
Number.isFinite(), Number.isInteger(), Number.parseFloat() and Number.parseInt()"
25,Number exercise 01,Theory,"Student understand about
Number.isFinite(), Number.isInteger(), Number.parseFloat() and Number.parseInt()
how to use it in fact problems.
The
Number.isFinite()
method determines whether the passed value is a finite number.
Syntax
```js
Number.isFinite(value)
```
Example
```js
Number.isFinite(Infinity);// falseNumber.isFinite(NaN);// falseNumber.isFinite(-Infinity);// falseNumber.isFinite(0);// trueNumber.isFinite(2456);// true
```
The
Number.isInteger()
method determines whether the passed value is an integer.
Syntax
```js
Number.isInteger(value)
```
Example
```js
Number.isInteger(0);// trueNumber.isInteger(1);// trueNumber.isInteger(-100000);// trueNumber.isInteger(99999999999999999999999);// trueNumber.isInteger(0.1);// falseNumber.isInteger(Math.PI);// false
```
The
Number.parseFloat()
method parses a string argument and returns a floating point number.
Syntax
```js
Number.parseFloat(string)
```
Example
```js
Number.parseFloat('10')//10Number.parseFloat('10.00')//10Number.parseFloat('237,21')//237Number.parseFloat('237.21')//237.21Number.parseFloat('12 34 56')//12Number.parseFloat(' 36 ')//36Number.parseFloat('36 is my age')//36Number.parseFloat('-10')//-10Number.parseFloat('-10.2')//-10.2
```
As you can see
Number.parseFloat()
is pretty flexible. It can also convert strings with words, extracting the
first
number, but the string must start with a number:
```js
Number.parseFloat('I am Flavio and I am 36')//NaN
```
The
Number.parseInt()
method parses a string argument and returns an integer of the specified radix or base.
Syntax
```js
Number.parseInt(string,[radix])
```
Example
```js
Number.parseInt('10')//10Number.parseInt('10.00')//10Number.parseInt('237,21')//237Number.parseInt('237.21')//237Number.parseInt('12 34 56')//12Number.parseInt(' 36 ')//36Number.parseInt('36 is my age')//36
```
As you can see
Number.parseInt()
is pretty flexible. It can also convert strings with words, extracting the
first
number, but the string must start with a number:
```js
Number.parseInt('I am Flavio and I am 36')//NaN
```
You can add a second parameter to specify the radix. Radix 10 is default but you can use octal or hexadecimal number conversions too:
```js
Number.parseInt('10',10)//10Number.parseInt('010')//10Number.parseInt('010',8)//8Number.parseInt('10',8)//8Number.parseInt('10',16)//16
```"
26,Number Methods,Bài tập,"Cho 2 số
a, b
. In ra kết quả của a chia cho b với 2 phần thập phân
Ví dụ
:
Cho
a = 1; b = 2;
In ra
""0.50""
;
Cho
a = 1; b = 3;
In ra
""0.33""
;
Cho
a = 2; b = 1;
In ra
""2.00""
;
Đầu vào
:
a, b
Đầu ra
: In ra kết quả của a chia cho b với 2 phần thập phân
Cho
a = 1; b = 2;
In ra
""0.50""
;
Cho
a = 1; b = 3;
In ra
""0.33""
;
Cho
a = 2; b = 1;
In ra
""2.00""
;"
27,Number Methods,Gợi ý,"Đọc phần lý thuyết để hiểu hơn về
toFixed()"
28,Number Methods,Lý thuyết,"Sinh viên hiểu về
toFixed
() và cách sử dụng nó để giải quyết vấn đề trong thực tế
toFixed()
sẽ chuyển đổi một số thành kiểu chuỗi, giữ lại số chữ số thập phân do người dùng xác định.
Cú pháp
```js
numObj.toFixed([digits])
```
Ví dụ
```js
varnumObj=12345.6789;numObj.toFixed();// Returns '12346': note rounding, no fractional partnumObj.toFixed(1);// Returns '12345.7': note roundingnumObj.toFixed(6);// Returns '12345.678900': note added zeros
```"
29,ifElseStatementAss1,Bài tập,"Viết chương trình, người dùng nhập một năm bất kỳ và in ra năm đó có phải là năm nhuận hay không.
Ví
dụ:
Với
year = 2016
, đầu ra được in ra màn hình là
2016 is a leap year
Vì 2016 chia hết cho 4 và không chia hết cho 100.
Ví
dụ:
Với
year = 2016
, đầu ra được in ra màn hình là
2016 is a leap year
Vì 2016 chia hết cho 4 và không chia hết cho 100.
Với
year = 2015
, đầu ra được in ra màn hình là
2015 is not a leap year
Vì 2015 không chia hết cho 4.
Với
year = 2015
, đầu ra được in ra màn hình là
2015 is not a leap year
Vì 2015 không chia hết cho 4.
Đầu vào:
1 số nguyên
year
Điều kiện tiền đề:
1 ≤ n ≤ 9999
Đầu ra:
kiểm tra year có phải là năm nhuận hay không và in ra màn hình theo kiểu sau:
2016 is a leap year
or
2015 is not a leap year"
30,ifElseStatementAss1,Gợi ý,"Sử dụng câu lệnh if để giải bài toán này
Nhớ lại dấu hiệu nhận biết của nam nhuận"
31,JavaScript conditional exercises,Bài tập,"Viết chương trình javascript để sắp xếp 4 số (a, b, c, d). Và in ra kết quả.
Ví dụ
:
Cho
a = 3; b = 2; c= 9; d= -1;
In ra ""9,3,2,-1"";
Cho
a = 3; b = 3; c= 8; d= -5;
In ra ""8,3,3,-5"";
Đầu vào
: a, b, c, d
Đầu ra
: sắp xếp 4 số (a, b, c, d). Và in ra kết quả.
Cho
a = 3; b = 2; c= 9; d= -1;
In ra ""9,3,2,-1"";
Cho
a = 3; b = 3; c= 8; d= -5;
In ra ""8,3,3,-5"";"
32,JavaScript conditional exercises,Gợi ý,"Cố gắng nhớ lại kiến thức
if...else"
33,JS 5.1 If,Bài tập,"Cho 1 số tự nhiên
n
. Viết chương trình kiểm tra
n
là số lẽ hay chẵn.
Nếu number là số chẵn , In ra ""
Even number
"" và ""
Done
"".
Ngoài ra, in ""
Done
"" ra màn hình.
Ví dụ:
Cho
n = 10
, kết quả nên in ra như sau:
Even number Done
Cho
n = 151
, Kết quả nên in ra là ""
Done
""
Ví dụ:
Cho
n = 10
, kết quả nên in ra như sau:
Even number Done
Cho
n = 151
, Kết quả nên in ra là ""
Done
""
Cho
n = 10
, kết quả nên in ra như sau:
```js
Even number Done
```
Đầu vào:
n
Đầu ra:
Nếu n là số chẵn, In ra màn hình ""
Even number
"" và ""
Done
"". Ngoài ra in ""
Done
"" ra màn hình
Đầu vào:
n
Đầu ra:
Nếu n là số chẵn, In ra màn hình ""
Even number
"" và ""
Done
"". Ngoài ra in ""
Done
"" ra màn hình"
34,JS 5.1 If,Gợi ý,Đọc lý thuyết dưới đây và sử dụng câu lệnh if để giải quyết vấn đề
